name,bound_xmin,bound_ymin,bound_xmax,bound_ymax,reprojected_bound_xmin,reprojected_bound_ymin,reprojected_bound_xmax,reprojected_bound_ymax
EPSG:2853: NAD83(HARN) / Virginia North,-80.0500,37.7700,-76.5000,39.4500,3363434.3107,2012622.8118,3676208.2257,2199835.7224
EPSG:2854: NAD83(HARN) / Virginia South,-83.6800,36.5300,-75.1700,38.2700,3036306.1186,1027084.7300,3798176.7140,1227370.5128
EPSG:2855: NAD83(HARN) / Washington North,-124.7500,47.0800,-117.0300,49.0000,202656.1791,16031.4207,788746.9402,229671.2630
EPSG:2856: NAD83(HARN) / Washington South,-124.5000,45.5500,-116.9000,47.6000,187754.6365,30497.7688,781043.7173,259585.0321
EPSG:2857: NAD83(HARN) / West Virginia North,-81.7600,38.7500,-77.7300,40.6300,403546.8531,29270.4606,753865.5976,238890.8448
EPSG:2858: NAD83(HARN) / West Virginia South,-82.6500,37.2000,-79.0500,39.1800,453513.4977,23502.1706,773116.7841,243745.5465
EPSG:2859: NAD83(HARN) / Wisconsin North,-92.8800,45.3700,-88.0500,47.2900,374427.4323,24474.5751,752749.5534,239971.2689
EPSG:2860: NAD83(HARN) / Wisconsin Central,-92.8800,43.9800,-86.2500,46.0200,368962.7036,20394.9761,900785.9536,249710.0915
EPSG:2861: NAD83(HARN) / Wisconsin South,-91.4300,42.4900,-86.9000,44.3300,482435.6354,55443.7792,854813.5999,263451.7872
EPSG:2862: NAD83(HARN) / Wyoming East,-106.3300,41.0000,-104.0500,45.0000,102127.9018,56121.7195,293945.9252,500522.8409
EPSG:2863: NAD83(HARN) / Wyoming East Central,-108.6200,41.0000,-106.0000,45.0000,291751.5422,156318.5452,512174.6660,600729.3640
EPSG:2864: NAD83(HARN) / Wyoming West Central,-110.1700,41.0000,-107.5000,45.0000,480533.7763,56273.7365,705163.5871,500845.4780
EPSG:2865: NAD83(HARN) / Wyoming West,-111.0500,41.0000,-109.0400,45.0000,718673.8590,155971.1804,887776.2423,600393.9977
EPSG:2866: NAD83(HARN) / Puerto Rico and Virgin Is.,-67.2700,17.6800,-64.5600,18.5200,111231.1231,183231.7365,398754.6302,277013.7472
EPSG:2867: NAD83(HARN) / Arizona East (ft),-111.7200,31.3300,-109.0500,37.0000,214992.6958,121793.6623,1048654.4981,2187001.7180
EPSG:2868: NAD83(HARN) / Arizona Central (ft),-113.3300,31.3300,-110.4500,37.0000,258710.1067,122857.2981,1157943.9948,2186600.2033
EPSG:2869: NAD83(HARN) / Arizona West (ft),-114.7500,32.0400,-112.5200,37.0000,390131.5238,379734.8797,1081142.5981,2185694.0733
EPSG:2870: NAD83(HARN) / California zone 1 (ftUS),-124.4200,39.6000,-120.0000,42.0000,5879734.4260,1744000.3076,7125269.7437,2621031.8552
EPSG:2871: NAD83(HARN) / California zone 2 (ftUS),-124.0700,38.0300,-119.5400,40.1500,5965413.2863,1779535.4389,7270232.3774,2554195.8658
EPSG:2872: NAD83(HARN) / California zone 3 (ftUS),-123.0900,36.7400,-117.8200,38.7000,5802768.5811,1738307.6666,7346928.6408,2452463.3364
EPSG:2873: NAD83(HARN) / California zone 4 (ftUS),-122.0000,35.7800,-115.6500,37.5800,5671873.5402,1816925.5902,7555229.0868,2475290.3439
EPSG:2874: NAD83(HARN) / California zone 5 (ftUS),-121.3600,32.7500,-114.1300,35.8100,5528230.8160,1384701.5952,7751890.9134,2503239.6463
EPSG:2875: NAD83(HARN) / California zone 6 (ftUS),-118.1400,32.5100,-114.4300,34.0800,5979001.2708,1770238.7032,7122754.0974,2341806.4367
EPSG:2876: NAD83(HARN) / Colorado North (ftUS),-109.0500,39.5600,-102.0500,41.0000,1999305.5283,1101489.1010,3972520.3257,1626770.0860
EPSG:2877: NAD83(HARN) / Colorado Central (ftUS),-109.0500,38.1400,-102.0500,40.0900,1979149.7191,1130530.2041,3992107.9609,1841334.1528
EPSG:2878: NAD83(HARN) / Colorado South (ftUS),-109.0500,37.0000,-102.0500,38.6700,1963481.9307,1139979.3453,4007333.8472,1748754.2722
EPSG:2879: NAD83(HARN) / Connecticut (ftUS),-73.7300,40.9500,-71.7800,42.0500,729279.2469,544012.5493,1267958.4130,944836.6206
EPSG:2880: NAD83(HARN) / Delaware (ftUS),-75.7800,38.4400,-74.9500,39.8400,552096.2163,160441.1749,789835.2694,670500.3230
EPSG:2881: NAD83(HARN) / Florida East (ftUS),-82.0500,24.4300,-80.0200,30.8300,306826.6397,36279.6630,982215.8007,2363339.4629
EPSG:2882: NAD83(HARN) / Florida West (ftUS),-83.1800,26.3100,-81.1300,29.5900,269601.5837,719323.2950,941170.8940,1912737.3391
EPSG:2883: NAD83(HARN) / Florida North (ftUS),-87.6400,29.2800,-82.0500,31.0000,967478.5103,110223.1030,2749590.4261,740927.1811
EPSG:2884: NAD83(HARN) / Georgia East (ftUS),-83.4600,30.3500,-80.7900,34.6900,248223.0193,129608.2845,1090397.7621,1708983.9407
EPSG:2885: NAD83(HARN) / Georgia West (ftUS),-85.0200,30.6200,-83.0000,35.0000,2028173.0113,226493.0329,2663556.2865,1821013.4076
EPSG:2886: NAD83(HARN) / Idaho East (ftUS),-113.2400,42.0000,-111.0500,44.7600,364427.2314,123289.6304,959684.5585,1129421.4938
EPSG:2887: NAD83(HARN) / Idaho Central (ftUS),-115.3000,42.0000,-112.6900,45.7100,1287066.6337,124143.5865,1996484.8277,1476540.4978
EPSG:2888: NAD83(HARN) / Idaho West (ftUS),-117.2400,42.0000,-114.3000,49.0000,2219677.6918,124796.6784,3018783.2045,2677257.4183
EPSG:2889: NAD83(HARN) / Indiana East (ftUS),-86.5800,37.9500,-84.8100,41.7500,64721.2901,983120.0046,575105.0854,2367513.2205
EPSG:2890: NAD83(HARN) / Indiana West (ftUS),-88.0900,37.7700,-86.2400,41.7500,2661767.5171,917537.9343,3196519.1498,2367797.3976
EPSG:2891: NAD83(HARN) / Kentucky North (ftUS),-85.9300,37.7400,-82.4600,39.1400,1154604.0240,91829.9268,2158034.5895,602189.8808
EPSG:2892: NAD83(HARN) / Kentucky South (ftUS),-89.4200,36.5000,-81.9800,38.0000,561897.6176,1722049.0791,2748307.7633,2268929.6000
EPSG:2893: NAD83(HARN) / Maryland (ftUS),-79.4900,37.8800,-74.9800,39.7200,593655.7373,84146.0734,1895381.6422,757391.3704
EPSG:2894: NAD83(HARN) / Massachusetts Mainland (ftUS),-73.5100,41.3500,-69.8600,42.8900,104294.9553,2592496.1873,1106463.9850,3155719.1933
EPSG:2895: NAD83(HARN) / Massachusetts Island (ftUS),-70.8700,41.2000,-69.9000,41.5100,1538593.5579,73089.3038,1805534.4050,186396.0688
EPSG:2896: NAD83(HARN) / Michigan North (ft),-90.4100,45.2400,-83.4200,48.3000,25368509.0750,185420.5533,27168681.9172,1302317.8287
EPSG:2897: NAD83(HARN) / Michigan Central (ft),-87.0900,43.8100,-82.2400,45.8800,18966187.0529,187223.4171,20246436.4391,946196.1057
EPSG:2898: NAD83(HARN) / Michigan South (ft),-87.1400,41.7500,-82.1200,44.1700,12366628.6853,99291.0310,13736422.4786,985110.3762
EPSG:2899: NAD83(HARN) / Mississippi East (ftUS),-89.9600,30.1300,-88.1000,35.0000,628069.6848,229850.5472,1216079.0375,2002795.1411
EPSG:2900: NAD83(HARN) / Mississippi West (ftUS),-91.2400,31.0000,-89.3800,35.0000,2012502.8273,546683.9549,2595286.2522,2002254.5929
EPSG:2901: NAD83(HARN) / Montana (ft),-116.0400,44.3600,-104.0200,49.0000,259212.4565,90262.0804,3401250.3270,1797357.1993
EPSG:2902: NAD83(HARN) / New Mexico East (ftUS),-105.7200,32.0000,-103.0000,37.0000,111468.8412,366288.3864,954671.4040,2186265.5455
EPSG:2903: NAD83(HARN) / New Mexico Central (ftUS),-107.7200,31.7800,-104.8500,37.0000,1183631.1829,286508.8576,2075448.4705,2186610.8465
EPSG:2904: NAD83(HARN) / New Mexico West (ftUS),-109.0500,31.3300,-106.8800,37.0000,2343206.7230,121316.3620,3020750.9415,2185603.2333
EPSG:2905: NAD83(HARN) / New York East (ftUS),-75.8600,40.8800,-73.2500,45.0300,116071.8523,747947.1638,837761.3518,2260847.6417
EPSG:2906: NAD83(HARN) / New York Central (ftUS),-77.7500,42.0000,-75.0700,44.4000,503103.0219,730813.7225,1231541.2872,1607028.5833
EPSG:2907: NAD83(HARN) / New York West (ftUS),-79.7600,42.0000,-77.3700,43.6400,828468.2698,730850.9202,1478081.3886,1328686.1485
EPSG:2908: NAD83(HARN) / New York Long Island (ftUS),-74.2700,40.4700,-71.7500,41.3100,909126.0155,110626.2880,1610215.3590,424498.0529
EPSG:2909: NAD83(HARN) / North Dakota North (ft),-104.0500,47.1500,-96.8300,49.0000,1085416.4444,75077.0800,2881420.0350,750580.5282
EPSG:2910: NAD83(HARN) / North Dakota South (ft),-104.0500,45.9300,-96.5700,47.8100,1065407.0674,116445.5897,2968193.5686,805860.5650
EPSG:2911: NAD83(HARN) / Oklahoma North (ftUS),-103.0000,35.2600,-94.4300,37.0100,476301.5273,114241.4133,3034160.6344,769305.4562
EPSG:2912: NAD83(HARN) / Oklahoma South (ftUS),-100.0000,33.6100,-94.4300,35.5500,1359537.1215,106720.8287,3055343.2525,825523.7388
EPSG:2913: NAD83(HARN) / Oregon North (ft),-124.1500,43.9600,-116.4600,46.2900,7241196.8729,128656.7859,9265592.9584,981999.6828
EPSG:2914: NAD83(HARN) / Oregon South (ft),-124.6000,42.0000,-116.8800,44.5600,3807130.6123,142752.9914,5905041.0689,1080736.3326
EPSG:2915: NAD83(HARN) / Tennessee (ftUS),-90.3200,35.0000,-81.6600,36.6800,675005.4127,271229.8861,3267979.0713,882451.5001
EPSG:2916: NAD83(HARN) / Texas North (ftUS),-103.0500,34.3100,-100.0000,36.5000,188050.7519,3397104.6431,1109183.2467,4194381.4331
EPSG:2917: NAD83(HARN) / Texas North Central (ftUS),-103.0500,31.7400,-94.0000,34.5800,554215.4874,6618310.5764,3367252.4841,7651373.6825
EPSG:2918: NAD83(HARN) / Texas Central (ftUS),-106.6300,29.7800,-93.5100,32.2600,299810.8079,9940249.0466,4460168.7721,10850453.8141
EPSG:2919: NAD83(HARN) / Texas South Central (ftUS),-105.0000,27.8200,-93.8300,30.6600,29483.6989,13155424.7379,3639474.5049,14199599.0344
EPSG:2920: NAD83(HARN) / Texas South (ftUS),-100.2000,25.8300,-97.1200,28.2000,425010.5113,16466022.4813,1438225.5614,17328763.0358
EPSG:2921: NAD83(HARN) / Utah North (ft),-114.0500,40.5500,-109.0500,42.0000,931847.2962,3369377.1179,2321212.9506,3898273.3620
EPSG:2922: NAD83(HARN) / Utah Central (ft),-114.0500,38.5000,-109.0500,41.0800,910594.9220,6631994.2215,2341631.6892,7572222.7582
EPSG:2923: NAD83(HARN) / Utah South (ft),-114.0500,37.0000,-109.0500,38.5800,895795.0512,9973265.9935,2355850.6862,10549177.8436
EPSG:2924: NAD83(HARN) / Virginia North (ftUS),-80.0500,37.7700,-76.5000,39.4500,11034867.4013,6603080.0088,12061026.4873,7217294.3663
EPSG:2925: NAD83(HARN) / Virginia South (ftUS),-83.6800,36.5300,-75.1700,38.2700,9961614.3244,3369693.8181,12461184.7694,4026798.0904
EPSG:2926: NAD83(HARN) / Washington North (ftUS),-124.7500,47.0800,-117.0300,49.0000,664881.1480,52596.4194,2587747.2534,753513.1353
EPSG:2927: NAD83(HARN) / Washington South (ftUS),-124.5000,45.5500,-116.9000,47.6000,615991.6702,100058.0964,2562474.2627,851655.2261
EPSG:2928: NAD83(HARN) / Wisconsin North (ftUS),-92.8800,45.3700,-88.0500,47.2900,1228434.0007,80297.0019,2469645.8263,787305.7379
EPSG:2929: NAD83(HARN) / Wisconsin Central (ftUS),-92.8800,43.9800,-86.2500,46.0200,1210505.1366,66912.5176,2955328.5829,819257.1917
EPSG:2930: NAD83(HARN) / Wisconsin South (ftUS),-91.4300,42.4900,-86.9000,44.3300,1582790.9140,181901.7988,2804500.9525,864341.4051
EPSG:2931: Beduaram / TM 13 NE,8.0000,12.6000,15.5000,16.5000,-43631.4844,1394008.3371,771671.1461,1830690.2774
EPSG:2932: QND95 / Qatar National Grid,50.7500,24.4800,51.6400,26.1800,152771.3970,303313.4886,242990.3763,491651.1258
EPSG:2933: Segara / UTM zone 50S,116.9000,-1.3500,118.0000,0.0000,488873.7888,9850775.5928,611267.7426,10000000.0000
EPSG:2934: Segara (Jakarta) / NEIEZ,113.6900,-5.7200,119.6200,4.4000,-7543247.4475,268409.0623,-6885179.5836,1385504.5342
EPSG:2935: Pulkovo 1942 / CS63 zone A1,40.0300,41.3800,43.0300,43.5600,1174242.0395,4571036.6933,1425200.2592,4813217.7251
EPSG:2936: Pulkovo 1942 / CS63 zone A2,43.0300,38.8600,46.0300,43.1000,2169509.9898,4291202.3000,2429911.3122,4762110.1723
EPSG:2937: Pulkovo 1942 / CS63 zone A3,46.0300,38.4000,49.0300,42.4000,3168673.2854,4240133.6524,3430744.3039,4684345.1762
